Job,Salary,Company,Location
CHOFER VENDEDOR A DETALLE MINSA,Sueldo no mostrado por la empresa,MINSA COMERCIAL SA DE CV,"Córdoba, Ver."
Valuador A1,"$15,000  Mensual",Qualitas Compañía de S...,"Monterrey, N.L."
Valuador A3,"$16,000  Mensual",Qualitas Compañía de S...,"Monterrey, N.L."
Promotor de tarjetas de Credito Citibanamex Paseo la FE,"$11,000  Mensual",Banamex,"Apodaca, N.L."
Promotor de tarjetas de Credito Citibanamex JUAREZ,"$11,000  Mensual",Banamex,"Guadalupe, N.L."
EJECUTIVO ADMINISTATIVO,"$12,000 - $12,500  Mensual",HERIBERTO JAUREGUI RAMOS,"Chihuahua, Chih."
AUXILIAR CONTABLE,"$15,000  Mensual",Asoc. Mexicana de Dist...,"Gustavo A. Madero, CDMX"
"Barista $14 mil + Propinas Plaza Auriga, Sn Pedro Garza","$14,000 - $16,800  Mensual",SAS EMPRESARIAL DE SAL...,"Monterrey, N.L."
Vendedor de Piso en Plaza Ubika El Refugio,"$7,999 - $8,000  Mensual",SAS EMPRESARIAL DE SAL...,"Querétaro, Qro."
VENDEDOR DE REFACCIONES,"$6,223  Mensual",Asoc. Mexicana de Dist...,"Gustavo A. Madero, CDMX"
Jefe de contabilidad,Sueldo no mostrado por la empresa,Empresa confidencial,"Celaya, Gto."
Asesor telefónico,Sueldo no mostrado por la empresa,Empresa confidencial,"Apodaca, N.L."
ASESOR DE VENTANILLA EN ALMACÉN,"$7,000 - $12,000  Mensual",Asoc. Mexicana de Dist...,"Huixquilucan, Edo. Méx.​"
R6 City Manager,Sueldo no mostrado por la empresa,Huawei Technologies En...,"Querétaro, Qro."
AUXILIAR ADMINISTRATIVO MONITOREO GPS,"$10,000 - $10,500  Mensual",WALDO'S DOLAR MART DE ...,"Lerma, Edo. Méx.​"
CHOFER VENDEDOR A DETALLE MINSA,Sueldo no mostrado por la empresa,MINSA COMERCIAL SA DE CV,"Córdoba, Ver."
Valuador A1,"$15,000  Mensual",Qualitas Compañía de S...,"Monterrey, N.L."
Valuador A3,"$16,000  Mensual",Qualitas Compañía de S...,"Monterrey, N.L."
Promotor de tarjetas de Credito Citibanamex Paseo la FE,"$11,000  Mensual",Banamex,"Apodaca, N.L."
Promotor de tarjetas de Credito Citibanamex JUAREZ,"$11,000  Mensual",Banamex,"Guadalupe, N.L."
EJECUTIVO ADMINISTATIVO,"$12,000 - $12,500  Mensual",HERIBERTO JAUREGUI RAMOS,"Chihuahua, Chih."
AUXILIAR CONTABLE,"$15,000  Mensual",Asoc. Mexicana de Dist...,"Gustavo A. Madero, CDMX"
"Barista $14 mil + Propinas Plaza Auriga, Sn Pedro Garza","$14,000 - $16,800  Mensual",SAS EMPRESARIAL DE SAL...,"Monterrey, N.L."
Vendedor de Piso en Plaza Ubika El Refugio,"$7,999 - $8,000  Mensual",SAS EMPRESARIAL DE SAL...,"Querétaro, Qro."
Ejecutivo de alimentos y bebidas,"$12,000 - $12,001  Mensual",Hoteles City Express,"Puebla, Pue."
ASESOR Y/O EJECUTIVO DE VENTAS,Sueldo no mostrado por la empresa,Asoc. Mexicana de Dist...,"Juriquilla Santa Fe, Querétaro, Qro."
Ayudante general en almacén,"$7,499 - $7,500  Mensual",Servicios Empresariale...,"Naucalpan de Juárez, Edo. Méx.​"
Reclutador,"$16,000 - $18,000  Mensual",Empresa confidencial,"Ciénega de Flores, N.L."
Técnico de servicio,"$13,000 - $14,000  Mensual",STEREN,"El Salto, Jal."
GESTOR DE DATOS DE PRUEBA JR,Sueldo no mostrado por la empresa,Getecsa,"Miguel Hidalgo, CDMX"
Administrativo de Ventas,"$9,500  Mensual","Autofin, S.A.","Acapulco de Juárez, Gro."
Cajero $12 mil más propinas Plaza Auriga,"$12,000 - $14,000  Mensual",SAS EMPRESARIAL DE SAL...,"San Pedro Garza García, N.L."
ASESOR DE SERVICIO,"$14,000  Mensual",Asoc. Mexicana de Dist...,"Zapopan, Jal."
"Auxiliar de Tesoreria, Metro Mixcoac","$14,000 - $15,000  Mensual",SAS EMPRESARIAL DE SAL...,"Mixcoac, Benito Juárez, CDMX"
Promotor de Ventas TDC Citibanamex Concordia Apodaca,"$11,340 - $11,341  Mensual",Banamex,"Apodaca, N.L."
Ejecutivo de alimentos y bebidas,"$12,000 - $12,001  Mensual",Hoteles City Express,"Puebla, Pue."
ASESOR Y/O EJECUTIVO DE VENTAS,Sueldo no mostrado por la empresa,Asoc. Mexicana de Dist...,"Juriquilla Santa Fe, Querétaro, Qro."
Ayudante general en almacén,"$7,499 - $7,500  Mensual",Servicios Empresariale...,"Naucalpan de Juárez, Edo. Méx.​"
Reclutador,"$16,000 - $18,000  Mensual",Empresa confidencial,"Ciénega de Flores, N.L."
